 variables ="x","u","ue","error"
 zone T=           1
   2.0616701789183018       -6.7286587243294921E-002  -6.3998392563734255E-002  -3.2881946795606659E-003
   2.1598449493429825       -7.5943409691994909E-002  -7.2545116667109125E-002  -3.3982930248857846E-003
   2.2580197197676637       -8.1673769859992015E-002  -7.8303972620737128E-002  -3.3697972392548875E-003
   2.3561944901923448       -8.4247251692483982E-002  -8.1053650819923995E-002  -3.1936008725599874E-003
   2.4543692606170260       -8.3556251710780322E-002  -8.0688482673512224E-002  -2.8677690372680975E-003
   2.5525440310417071       -7.9620754160800444E-002  -7.7222501388579792E-002  -2.3982527722206520E-003
   2.6507188014663878       -7.2588214443511156E-002  -7.0788902682161967E-002  -1.7993117613491899E-003
   2.7488935718910690       -6.2728553474557344E-002  -6.1634926144542607E-002  -1.0936273300147376E-003
   2.8470683423157501       -5.0424457301583202E-002  -5.0112353960453271E-002  -3.1210334112993093E-004
   2.9452431127404308       -3.6157360659681781E-002  -3.6663992116995656E-002   5.0663145731387471E-004
   3.0434178831651120       -2.0489662771490839E-002  -2.1806653617885495E-002   1.3169908463946563E-003
   3.1415926535897931       -4.0438717243018504E-003  -6.1112976495522288E-003   2.0674259252503784E-003
   3.2397674240144743        1.2520505891029784E-002   9.8189120601981216E-003   2.7015938308316625E-003
